,Clinique,EsteeLauder,Innisfree,Kans,L'Oreal,Lancome,Olay,Pechoin,SK-II
2017-10-01,478,3330,1838,845,23814,3947,3797,1268,1867
2017-10-02,404,2481,1534,1227,14872,2910,3758,1017,1657
2017-10-03,406,3514,1204,974,2524,2646,2407,1002,1439
2017-10-04,479,3132,1080,1006,1363,4214,2401,1279,1303
2017-10-05,418,4088,1264,866,1095,2628,2112,1027,1654
2017-10-06,548,3081,1373,781,1644,1904,1831,1157,1653
2017-10-07,782,2979,1184,897,1521,2076,2981,1189,2109
2017-10-08,692,3317,1273,878,1336,1878,2350,1195,2763
2017-10-09,757,3321,1377,1041,1448,6077,3575,1785,1884
2017-10-10,762,3899,1577,1064,2226,3738,4003,1262,2422
2017-10-11,725,4525,1521,1030,1671,2813,2368,1612,3699
2017-10-12,813,6986,1599,1301,1344,4402,5019,1824,2256
2017-10-13,652,5043,1345,935,2208,2941,3539,5207,2157
2017-10-14,618,7622,1362,1127,1124,2197,2250,4106,2075
2017-10-15,707,4878,1286,1287,1601,2212,1682,1729,1898
2017-10-16,827,4398,1053,1330,1951,5437,3561,1657,2705
2017-10-17,889,24274,1186,1273,2923,3416,5430,2585,2714
2017-10-18,1044,19843,1506,2063,4864,3380,3542,2845,6862
2017-10-19,1306,11013,1301,1615,2625,3369,7380,4618,8895
2017-10-20,1987,22557,1574,2057,16678,5390,7751,3395,5109
2017-10-21,9071,9412,1499,1732,12185,3907,8154,2843,7718
2017-10-22,3496,7458,1145,2252,3182,4317,10062,1926,4859
2017-10-23,2304,7656,1368,3062,2353,7350,4370,3422,4233
2017-10-24,2588,6966,1122,2478,2600,4198,4750,5104,4244
2017-10-25,2817,6356,1904,1972,2644,8210,4341,6204,5096
2017-10-26,5589,10004,2432,1978,1838,6185,4285,3161,3788
2017-10-27,3296,7840,1837,1982,2171,6524,3916,2528,13334
2017-10-28,2565,7313,1045,1856,2396,7045,4796,1695,20918
2017-10-29,3637,5748,889,1506,1123,7030,3855,1569,18467
2017-10-30,1314,5113,1214,1760,1382,4977,6094,2365,15279
2017-10-31,661,5814,1086,1624,1305,3788,5615,2608,9453
